city_town,count,Date
Abington,54,2020-04-14
Acton,35,2020-04-14
Acushnet,16,2020-04-14
Adams,25,2020-04-14
Agawam,168,2020-04-14
Alford,0,2020-04-14
Amesbury,23,2020-04-14
Amherst,11,2020-04-14
Andover,51,2020-04-14
Aquinnah,0,2020-04-14
Arlington,94,2020-04-14
Ashburnham,7,2020-04-14
Ashby,7,2020-04-14
Ashfield,NA,2020-04-14
Ashland,63,2020-04-14
Athol,28,2020-04-14
Attleboro,210,2020-04-14
Auburn,34,2020-04-14
Avon,24,2020-04-14
Ayer,27,2020-04-14
Barnstable,94,2020-04-14
Barre,12,2020-04-14
Becket,10,2020-04-14
Bedford,81,2020-04-14
Belchertown,25,2020-04-14
Bellingham,33,2020-04-14
Belmont,118,2020-04-14
Berkley,17,2020-04-14
Berlin,8,2020-04-14
Bernardston,NA,2020-04-14
Beverly,150,2020-04-14
Billerica,134,2020-04-14
Blackstone,19,2020-04-14
Blandford,NA,2020-04-14
Bolton,NA,2020-04-14
Boston,4609,2020-04-14
Bourne,83,2020-04-14
Boxborough,7,2020-04-14
Boxford,15,2020-04-14
Boylston,9,2020-04-14
Braintree,308,2020-04-14
Brewster,16,2020-04-14
Bridgewater,103,2020-04-14
Brimfield,NA,2020-04-14
Brockton,1202,2020-04-14
Brookfield,5,2020-04-14
Brookline,144,2020-04-14
Buckland,NA,2020-04-14
Burlington,91,2020-04-14
Cambridge,471,2020-04-14
Canton,113,2020-04-14
Carlisle,5,2020-04-14
Carver,18,2020-04-14
Charlemont,0,2020-04-14
Charlton,15,2020-04-14
Chatham,6,2020-04-14
Chelmsford,113,2020-04-14
Chelsea,712,2020-04-14
Cheshire,NA,2020-04-14
Chester,NA,2020-04-14
Chesterfield,0,2020-04-14
Chicopee,142,2020-04-14
Chilmark,0,2020-04-14
Clarksburg,6,2020-04-14
Clinton,33,2020-04-14
Cohasset,14,2020-04-14
Colrain,NA,2020-04-14
Concord,23,2020-04-14
Conway,NA,2020-04-14
Cummington,NA,2020-04-14
Dalton,6,2020-04-14
Danvers,190,2020-04-14
Dartmouth,64,2020-04-14
Dedham,125,2020-04-14
Deerfield,NA,2020-04-14
Dennis,26,2020-04-14
Dighton,13,2020-04-14
Douglas,18,2020-04-14
Dover,14,2020-04-14
Dracut,136,2020-04-14
Dudley,19,2020-04-14
Dunstable,NA,2020-04-14
Duxbury,25,2020-04-14
East Bridgewater,87,2020-04-14
East Brookfield,NA,2020-04-14
East Longmeadow,55,2020-04-14
Eastham,6,2020-04-14
Easthampton,26,2020-04-14
Easton,113,2020-04-14
Edgartown,NA,2020-04-14
Egremont,NA,2020-04-14
Erving,NA,2020-04-14
Essex,8,2020-04-14
Everett,444,2020-04-14
Fairhaven,37,2020-04-14
Fall River,150,2020-04-14
Falmouth,96,2020-04-14
Fitchburg,97,2020-04-14
Florida,NA,2020-04-14
Foxborough,43,2020-04-14
Framingham,263,2020-04-14
Franklin,37,2020-04-14
Freetown,22,2020-04-14
Gardner,61,2020-04-14
Georgetown,18,2020-04-14
Gill,NA,2020-04-14
Gloucester,65,2020-04-14
Goshen,NA,2020-04-14
Gosnold,0,2020-04-14
