city_town,Population
Abington,17961
Acton,23732
Acushnet,10454
Adams,8281
Agawam,28604
Alford,NaN
Amesbury,16645
Amherst,40497
Andover,36015
Aquinnah,NaN
Arlington,45809
Ashburnham,6280
Ashby,3458
Ashfield,NA
Ashland,19493
Athol,11965
Attleboro,46268
Auburn,16492
Avon,4381
Ayer,8080
Barnstable,44846
Barre,5558
Becket,1800
Bedford,14896
Belchertown,15923
Bellingham,17876
Belmont,27306
Berkley,6780
Berlin,3193
Bernardston,2091
Beverly,41167
Billerica,43583
Blackstone,9044
Blandford,NaN
Bolton,5053
Boston,694969
Bourne,20920
Boxborough,5108
Boxford,7717
Boylston,4489
Braintree,39360
Brewster,9912
Bridgewater,28447
Brimfield,NA
Brockton,98248
Brookfield,3662
Brookline,64384
Buckland,1860
Burlington,27643
Cambridge,112786
Canton,23065
Carlisle,4769
Carver,12176
Charlemont,NaN
Charlton,14072
Chatham,5856
Chelmsford,35982
Chelsea,37665
Cheshire,NA
Chester,1357
Chesterfield,NA
Chicopee,57015
Chilmark,NA
Clarksburg,1683
Clinton,14075
Cohasset,7399
Colrain,NA
Concord,18725
Conway,NA
Cummington,NA
Dalton,6522
Danvers,28556
Dartmouth,36820
Dedham,27125
Deerfield,5332
Dennis,13224
Dighton,7846
Douglas,9400
Dover,5211
Dracut,32305
Dudley,12384
Dunstable,3332
Duxbury,15133
East Bridgewater,14756
East Brookfield,2241
East Longmeadow,16914
Eastham,4646
Easthampton,16214
Easton,23698
Edgartown,4102
Egremont,1096
Erving,2094
Essex,3721
Everett,48536
Fairhaven,16031
Fall River,89447
Falmouth,31251
Fitchburg,42152
Florida,NA
Foxborough,18113
Framingham,74466
Franklin,33812
Freetown,9048
Gardner,19990
Georgetown,8934
Gill,NA
Gloucester,28625
Goshen,NA
Gosnold,NaN
Grafton,19944
Granby,6141
Granville,1556
Great Barrington,6796
Greenfield,17364
Groton,11646
Groveland,6834
Hadley,5750
Halifax,7641
Hamilton,7474
Hampden,4941
Hancock,NA
Hanover,14325
Hanson,10707
Hardwick,3311
Harvard,6927
Harwich,12563
Hatfield,3247
Haverhill,65846
Hawley,NaN
Heath,NaN
Hingham,23788
Hinsdale,NA
Holbrook,11295
Holden,18861
Holland,2560
Holliston,13784
Holyoke,41204
Hopedale,5679
Hopkinton,16314
Hubbardston,4661
Hudson,20946
Hull,9876
Huntington,2211
Ipswich,13447
Kingston,13563
Lakeville,11291
Lancaster,8568
Lanesborough,3046
Lawrence,88176
Lee,5880
Leicester,11264
Lenox,4879
Leominster,40592
Leverett,NA
Lexington,34045
Leyden,NaN
Lincoln,8653
Littleton,9718
Longmeadow,15510
Lowell,116859
Ludlow,20864
Lunenburg,10407
Lynn,100903
Lynnfield,11649
Malden,67754
Manchester,4946
Mansfield,23636
Marblehead,19218
Marion,4640
Marlborough,43439
Marshfield,25859
Mashpee,15378
Mattapoisett,5781
Maynard,10435
Medfield,11400
Medford,60815
Medway,13080
Melrose,28922
Mendon,5793
Merrimac,6390
Methuen,53551
Middleborough,26922
Middlefield,NaN
Middleton,10319
Milford,29303
Millbury,13657
Millis,7896
Millville,3551
Milton,28630
Monroe,NaN
Monson,8435
Montague,8548
Monterey,NaN
Montgomery,NA
Mount Washington,NaN
Nahant,3272
Nantucket,11340
Natick,35923
Needham,29312
New Ashford,NaN
New Bedford,99555
New Braintree,NA
New Marlborough,NA
New Salem,NaN
Newbury,6649
Newburyport,17804
Newton,91727
Norfolk,12346
North Adams,13057
North Andover,30249
North Attleborough,30215
North Brookfield,4647
North Reading,16535
Northampton,29231
Northborough,13691
Northbridge,17984
Northfield,NaN
Norton,19863
Norwell,10705
Norwood,30112
Oak Bluffs,NA
Oakham,NA
Orange,8163
Orleans,5648
Otis,NA
Oxford,13783
Palmer,11894
Paxton,4949
Peabody,55766
Pelham,NA
Pembroke,18673
Pepperell,12281
Peru,NA
Petersham,1267
Phillipston,1714
Pittsfield,44278
Plainfield,NaN
Plainville,9124
Plymouth,62036
Plympton,2989
Princeton,NA
Provincetown,2624
Quincy,101140
Randolph,34219
Raynham,14937
Reading,27484
Rehoboth,12616
Revere,60916
Richmond,1328
Rochester,5638
Rockland,18036
Rockport,6554
Rowe,NA
Rowley,6174
Royalston,NA
Russell,1887
Rutland,9009
Salem,45019
Salisbury,8841
Sandisfield,NA
Sandwich,21035
Saugus,28425
Savoy,NA
Scituate,18121
Seekonk,14002
Sharon,18311
Sheffield,3087
Shelburne,1849
Sherborn,3837
Shirley,8429
Shrewsbury,39399
Shutesbury,NA
Somerset,18507
Somerville,76539
South Hadley,18099
Southampton,6006
Southborough,9723
Southbridge,16843
Southwick,9793
Spencer,11520
Springfield,158333
Sterling,7873
Stockbridge,1744
Stoneham,22304
Stoughton,27658
Stow,7210
Sturbridge,10442
Sudbury,17904
Sunderland,3801
Sutton,8985
Swampscott,13707
Swansea,15970
Taunton,57279
Templeton,8931
Tewksbury,30791
Tisbury,NA
Tolland,NA
Topsfield,5844
Townsend,9149
Truro,1975
Tyngsborough,11991
Tyringham,NA
Upton,9041
Uxbridge,15414
Wakefield,27005
Wales,NA
Walpole,25901
Waltham,66660
Ware,10139
Wareham,23951
Warren,5422
Warwick,NaN
Washington,NA
Watertown,33173
Wayland,13282
Webster,17191
Wellesley,29734
Wellfleet,NA
Wendell,NaN
Wenham,5206
West Boylston,7850
West Bridgewater,7248
West Brookfield,3710
West Newbury,4082
West Springfield,29457
West Stockbridge,NA
West Tisbury,2883
Westborough,18842
Westfield,41578
Westford,23139
Westhampton,NA
Westminster,7332
Weston,11094
Westport,16644
Westwood,14739
Weymouth,56063
Whately,NA
Whitman,15420
Wilbraham,14542
Williamsburg,2467
Williamstown,7369
Wilmington,24373
Winchendon,10747
Winchester,22324
Windsor,NaN
Winthrop,18847
Woburn,41491
Worcester,191868
Worthington,NaN
Wrentham,11274
Yarmouth,24023
Unknown1,NA
State Total,6966813
